acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle
0.02,-0.012,-0.052,-1.588,-0.04,0.114,324.5
0.018,-0.033,-0.038,-1.585,-0.039,0.115,324.5
-0.009,0.005,-0.055,-1.581,-0.039,0.116,324.5
-0.006,-0.004,-0.029,-1.578,-0.038,0.117,324.5
-0.037,-0.021,-0.028,-1.576,-0.036,0.118,324.5
-0.006,0.003,-0.016,-1.574,-0.036,0.119,324.5
0.018,-0.018,0.014,-1.574,-0.036,0.12,324.5
0.012,-0.017,0.007,-1.575,-0.036,0.121,324.5
-0.042,-0.009,0.019,-1.577,-0.035,0.122,324.5
-0.014,0.013,0.028,-1.579,-0.033,0.122,324.5
-0.008,-0.027,0.036,-1.582,-0.031,0.123,324.5
0.037,-0.016,0.004,-1.583,-0.029,0.124,324.5
0.0,-0.009,0.024,-1.585,-0.029,0.125,324.5
-0.019,-0.012,0.026,-1.586,-0.029,0.126,324.5
0.014,0.003,0.015,-1.587,-0.03,0.126,324.5
-0.004,-0.01,0.015,-1.587,-0.03,0.127,324.5
-0.021,-0.009,0.025,-1.59,-0.029,0.128,324.5
-0.014,-0.007,0.011,-1.592,-0.027,0.129,324.5
-0.027,-0.011,0.014,-1.593,-0.026,0.13,324.5
0.004,0.003,0.008,-1.594,-0.025,0.131,324.5
0.011,0.004,0.018,-1.596,-0.025,0.131,324.5
-0.018,-0.011,-0.002,-1.596,-0.025,0.132,324.5
-0.013,-0.005,0.019,-1.598,-0.024,0.133,324.5
0.011,0.004,0.01,-1.598,-0.024,0.134,324.5
0.005,-0.006,-0.008,-1.598,-0.024,0.135,324.5
-0.005,-0.006,-0.003,-1.599,-0.024,0.136,324.5
-0.031,-0.029,0.001,-1.599,-0.021,0.138,324.5
-0.03,-0.018,-0.058,-1.596,-0.017,0.141,324.5
-0.033,-0.03,-0.068,-1.592,-0.013,0.143,324.5
-0.04,-0.039,-0.064,-1.586,-0.011,0.146,324.5
0.011,-0.037,-0.049,-1.583,-0.007,0.148,324.5
0.012,-0.024,-0.043,-1.577,-0.005,0.15,324.5
0.012,-0.032,-0.029,-1.572,-0.004,0.153,324.5
-0.017,-0.024,-0.027,-1.57,-0.002,0.156,324.5
-0.012,-0.044,-0.016,-1.569,-0.0,0.159,324.5
-0.047,-0.034,-0.014,-1.568,0.001,0.161,324.5
-0.064,-0.006,0.021,-1.57,-0.001,0.164,324.5
-0.052,-0.019,0.004,-1.573,0.002,0.166,324.5
-0.015,-0.011,0.026,-1.575,0.004,0.169,324.5
0.072,-0.01,0.041,-1.578,0.006,0.171,324.5
0.102,-0.022,0.016,-1.578,0.006,0.172,324.5
0.033,0.045,0.025,-1.578,0.002,0.172,324.5
-0.036,0.042,0.015,-1.578,-0.0,0.171,324.5
-0.076,0.057,0.02,-1.58,-0.009,0.17,324.5
-0.045,0.047,0.018,-1.584,-0.014,0.171,324.5
-0.051,0.012,0.027,-1.584,-0.016,0.171,324.5
0.021,0.031,0.023,-1.586,-0.016,0.171,324.5
0.029,0.025,-0.005,-1.588,-0.017,0.17,324.5
-0.007,0.023,0.011,-1.589,-0.02,0.17,324.5
-0.023,0.013,0.015,-1.591,-0.025,0.169,324.5
-0.024,0.036,0.012,-1.593,-0.026,0.169,324.5
-0.019,-0.001,0.006,-1.593,-0.027,0.169,324.5
0.012,0.027,0.005,-1.594,-0.028,0.169,324.5
0.042,0.02,0.013,-1.595,-0.029,0.168,324.5
0.03,0.008,0.021,-1.597,-0.03,0.168,324.5
0.006,0.018,0.001,-1.596,-0.03,0.168,324.5
-0.023,-0.01,0.009,-1.596,-0.029,0.169,324.5
-0.036,-0.023,0.007,-1.596,-0.026,0.17,324.5
0.002,-0.016,0.016,-1.597,-0.023,0.172,324.5
0.031,0.004,0.01,-1.597,-0.02,0.173,324.5
0.038,-0.009,-0.005,-1.596,-0.017,0.173,324.5
0.005,-0.013,-0.001,-1.596,-0.014,0.174,324.5
-0.018,0.017,-0.0,-1.597,-0.011,0.176,324.5
-0.032,-0.003,-0.039,-1.595,-0.01,0.176,324.5
-0.023,-0.003,-0.046,-1.589,-0.007,0.177,324.5
0.01,-0.005,-0.053,-1.584,-0.005,0.178,324.5
0.007,0.009,-0.052,-1.579,-0.002,0.178,324.5
-0.013,-0.018,-0.008,-1.577,-0.001,0.179,324.5
-0.009,0.02,-0.038,-1.579,0.002,0.18,324.5
-0.038,0.022,-0.022,-1.577,0.002,0.18,324.5
0.022,0.008,-0.025,-1.576,0.003,0.181,324.5
0.016,0.021,-0.025,-1.573,0.002,0.181,324.5
0.011,0.009,-0.003,-1.573,0.005,0.182,324.5
0.008,0.006,0.007,-1.574,0.007,0.182,324.5
-0.025,0.006,0.001,-1.576,0.007,0.182,324.5
-0.025,-0.029,0.018,-1.578,0.011,0.183,324.5
0.018,-0.038,0.032,-1.579,0.014,0.183,324.5
0.01,-0.001,0.026,-1.582,0.016,0.184,324.5
0.014,-0.008,0.013,-1.584,0.017,0.185,324.5
-0.028,-0.0,0.012,-1.586,0.018,0.186,324.5
-0.045,-0.012,0.024,-1.588,0.02,0.187,324.5
-0.021,0.002,0.03,-1.59,0.022,0.188,324.5
0.008,-0.03,0.018,-1.591,0.025,0.189,324.5
0.0,-0.021,0.012,-1.593,0.027,0.19,324.5
-0.025,0.002,0.007,-1.594,0.027,0.19,324.5
-0.059,0.02,0.017,-1.595,0.027,0.191,324.5
-0.031,-0.034,0.017,-1.598,0.028,0.191,324.5
0.009,-0.007,0.015,-1.599,0.027,0.192,324.5
0.016,-0.001,-0.007,-1.599,0.026,0.193,324.5
-0.014,0.013,0.002,-1.599,0.026,0.193,324.5
-0.045,0.003,0.011,-1.6,0.025,0.193,324.5
0.001,0.021,-0.002,-1.601,0.024,0.193,324.5
-0.0,0.028,-0.004,-1.601,0.023,0.193,324.5
-0.009,0.023,0.007,-1.601,0.02,0.192,324.5
0.001,0.011,0.003,-1.602,0.022,0.192,324.5
0.005,0.011,-0.002,-1.601,0.02,0.192,324.5
-0.01,0.007,-0.021,-1.601,0.02,0.192,324.5
-0.065,-0.017,-0.018,-1.6,0.021,0.192,324.5
-0.021,-0.004,0.021,-1.602,0.018,0.192,324.5
0.038,0.022,-0.02,-1.6,0.016,0.192,324.5
-0.018,0.012,-0.016,-1.598,0.016,0.192,324.5
-0.022,0.019,-0.015,-1.599,0.016,0.192,324.5
0.001,-0.032,0.013,-1.598,0.015,0.193,324.5
-0.033,0.001,-0.022,-1.598,0.019,0.194,324.5
-0.042,-0.002,-0.008,-1.6,0.021,0.195,324.5
-0.04,0.008,-0.022,-1.599,0.023,0.195,324.5
0.019,-0.01,-0.012,-1.597,0.023,0.195,324.5
0.042,-0.006,-0.014,-1.598,0.024,0.195,324.5
0.044,-0.03,0.005,-1.598,0.027,0.195,324.5
0.043,-0.026,-0.025,-1.595,0.026,0.195,324.5
-0.002,0.008,-0.028,-1.594,0.024,0.195,324.5
-0.063,-0.001,-0.011,-1.592,0.021,0.195,324.5
-0.016,0.011,0.007,-1.592,0.02,0.196,324.5
0.018,0.007,-0.016,-1.59,0.017,0.196,324.5
0.013,0.014,-0.004,-1.59,0.013,0.196,324.5
-0.012,-0.005,0.007,-1.59,0.011,0.196,324.5
0.024,0.007,0.002,-1.59,0.011,0.196,324.5
-0.026,0.037,-0.026,-1.589,0.01,0.195,324.5
-0.067,0.017,-0.015,-1.59,0.011,0.195,324.5
-0.069,-0.004,-0.001,-1.592,0.012,0.194,324.5
0.002,0.0,-0.021,-1.59,0.01,0.193,324.5
0.037,-0.001,-0.024,-1.589,0.008,0.192,324.5
0.033,0.03,-0.008,-1.589,0.005,0.191,324.5
0.04,0.005,0.009,-1.589,0.002,0.191,324.5
0.024,0.024,-0.042,-1.585,0.002,0.19,324.5
-0.048,-0.009,-0.017,-1.583,0.002,0.189,324.5
-0.058,-0.003,-0.026,-1.581,0.002,0.189,324.5
-0.048,0.0,-0.017,-1.58,0.001,0.188,324.5
-0.025,-0.024,-0.008,-1.582,0.002,0.188,324.5
0.015,-0.026,-0.025,-1.581,0.004,0.189,324.5
0.052,-0.019,0.017,-1.579,0.005,0.189,324.5
0.037,-0.025,-0.004,-1.577,0.008,0.19,324.5
-0.03,-0.024,-0.008,-1.576,0.012,0.19,324.5
-0.082,-0.023,-0.0,-1.576,0.014,0.19,324.5
-0.083,-0.024,-0.001,-1.576,0.011,0.189,324.5
-0.02,0.027,0.004,-1.577,0.007,0.189,324.5
0.028,0.01,0.003,-1.578,0.005,0.189,324.5
0.048,0.012,-0.011,-1.577,0.009,0.189,324.5
-0.022,-0.016,-0.0,-1.577,0.012,0.189,324.5
-0.037,-0.014,0.006,-1.579,0.013,0.189,324.5
-0.016,0.008,0.01,-1.579,0.012,0.189,324.5
-0.003,0.001,0.002,-1.58,0.011,0.188,324.5
0.023,0.011,0.019,-1.581,0.012,0.188,324.5
-0.024,-0.014,-0.001,-1.581,0.014,0.188,324.5
-0.055,-0.002,0.024,-1.583,0.013,0.188,324.1
-0.027,-0.007,0.012,-1.585,0.012,0.188,324.1
0.0,0.004,0.014,-1.585,0.011,0.188,324.1
-0.016,-0.001,0.024,-1.588,0.009,0.188,324.1
-0.001,-0.009,0.018,-1.591,0.009,0.188,324.1
-0.011,-0.043,0.034,-1.594,0.008,0.188,324.1
-0.017,0.02,0.014,-1.598,0.004,0.187,324.1
0.038,0.046,0.048,-1.597,0.004,0.186,324.1
0.071,-0.027,0.017,-1.596,0.007,0.186,324.1
0.023,0.01,0.005,-1.597,0.007,0.186,324.1
-0.047,0.008,0.024,-1.6,0.007,0.186,324.5
-0.031,0.017,0.017,-1.604,0.004,0.185,324.5
0.026,0.019,0.002,-1.605,0.001,0.184,324.5
0.009,0.046,-0.0,-1.604,0.001,0.183,324.5
-0.019,0.028,0.038,-1.607,-0.001,0.182,324.5
0.013,0.006,-0.006,-1.606,-0.001,0.181,324.5
-0.02,0.021,0.02,-1.606,-0.001,0.18,324.5
-0.001,0.031,0.027,-1.606,-0.004,0.179,324.5
-0.058,0.009,0.009,-1.607,-0.003,0.179,324.5
-0.018,-0.037,0.004,-1.607,0.001,0.18,324.5
-0.008,-0.038,0.005,-1.608,0.004,0.18,324.5
-0.028,-0.041,0.013,-1.61,0.006,0.181,324.5
-0.004,0.001,0.0,-1.612,0.006,0.181,324.5
-0.005,-0.028,0.005,-1.612,0.007,0.181,324.5
0.005,-0.017,0.0,-1.612,0.008,0.182,324.5
0.006,-0.019,0.024,-1.614,0.011,0.182,324.5
0.052,0.005,0.015,-1.615,0.011,0.182,324.5
0.037,0.02,-0.006,-1.614,0.007,0.182,324.5
0.018,0.031,0.01,-1.615,0.006,0.181,324.5
-0.067,-0.002,0.009,-1.616,0.008,0.181,324.5
-0.105,0.022,0.003,-1.618,0.007,0.181,324.5
-0.122,-0.014,-0.0,-1.621,0.007,0.18,324.5
-0.047,0.026,0.028,-1.623,0.003,0.18,324.5
0.058,0.064,0.014,-1.624,0.002,0.179,324.5
0.033,0.056,-0.018,-1.624,0.006,0.179,324.5
-0.042,0.013,0.052,-1.627,0.006,0.178,324.5
0.06,0.011,0.051,-1.628,0.006,0.178,324.5
0.086,0.002,-0.006,-1.628,0.006,0.177,324.5
0.001,0.01,0.025,-1.628,0.009,0.176,324.5
-0.003,0.016,0.016,-1.632,0.008,0.176,324.5
-0.054,0.009,0.014,-1.633,0.009,0.175,324.5
-0.064,0.029,0.011,-1.634,0.008,0.174,324.5
0.034,0.054,0.039,-1.634,0.006,0.174,324.5
0.054,-0.038,-0.007,-1.633,0.009,0.174,324.5
-0.01,-0.037,-0.017,-1.634,0.012,0.174,324.5
-0.113,-0.01,0.027,-1.636,0.011,0.174,324.5
-0.094,0.034,0.03,-1.638,0.009,0.174,324.5
-0.005,0.019,0.003,-1.639,0.01,0.174,324.5
0.126,-0.014,0.017,-1.638,0.016,0.175,324.5
0.031,-0.055,-0.013,-1.637,0.02,0.176,325.9
-0.024,-0.019,0.019,-1.636,0.02,0.176,325.9
-0.077,0.006,0.002,-1.638,0.017,0.176,325.9
-0.091,-0.01,0.016,-1.636,0.015,0.175,325.9
-0.053,0.023,-0.002,-1.636,0.012,0.176,325.9
-0.024,0.001,-0.0,-1.637,0.013,0.176,325.9
-0.004,-0.025,0.003,-1.639,0.015,0.176,325.9
0.001,-0.004,0.007,-1.642,0.015,0.176,325.9
-0.028,0.0,0.021,-1.644,0.018,0.176,325.9
0.027,0.008,-0.025,-1.644,0.018,0.177,325.9
0.01,0.02,0.012,-1.643,0.017,0.177,324.5
0.022,0.005,-0.018,-1.642,0.016,0.177,324.5
-0.014,-0.014,0.001,-1.642,0.016,0.177,324.5
-0.053,0.007,0.003,-1.642,0.015,0.177,324.5
-0.034,0.022,-0.003,-1.643,0.015,0.177,324.5
-0.023,-0.03,-0.012,-1.641,0.02,0.177,324.5
0.003,0.0,0.021,-1.64,0.021,0.177,324.5
-0.025,0.016,0.003,-1.64,0.02,0.177,324.5
0.014,0.023,0.001,-1.642,0.019,0.177,324.5
0.042,0.029,-0.018,-1.643,0.022,0.177,324.5
-0.03,-0.016,0.01,-1.644,0.024,0.178,324.5
0.013,-0.048,0.012,-1.643,0.024,0.178,324.5
-0.037,-0.001,-0.038,-1.643,0.024,0.178,324.5
-0.104,0.007,-0.0,-1.645,0.023,0.177,324.5
-0.096,-0.031,0.01,-1.647,0.018,0.177,324.5
0.0,0.024,0.016,-1.647,0.015,0.176,324.5
0.048,-0.002,-0.018,-1.647,0.012,0.176,324.5
-0.0,0.016,-0.015,-1.646,0.014,0.176,324.5
-0.07,-0.02,0.012,-1.648,0.016,0.176,324.5
-0.063,-0.021,-0.008,-1.647,0.018,0.176,324.5
0.019,-0.008,0.016,-1.646,0.017,0.176,324.5
0.06,0.019,-0.019,-1.642,0.016,0.176,324.5
-0.01,0.002,-0.03,-1.643,0.014,0.175,324.5
-0.065,0.023,0.019,-1.643,0.012,0.175,324.5
-0.042,-0.004,-0.021,-1.641,0.014,0.175,324.5
-0.016,-0.033,0.003,-1.639,0.016,0.175,324.5
0.005,0.018,-0.019,-1.637,0.015,0.174,324.5
-0.004,-0.016,0.001,-1.636,0.015,0.174,324.5
0.046,0.021,-0.006,-1.637,0.014,0.174,324.5
-0.048,0.006,-0.032,-1.636,0.013,0.174,324.5
-0.062,-0.035,0.008,-1.636,0.016,0.175,324.5
-0.063,-0.006,-0.009,-1.634,0.015,0.175,324.5
-0.008,-0.003,-0.002,-1.634,0.017,0.175,324.5
0.048,-0.019,-0.008,-1.634,0.02,0.176,324.5
-0.003,-0.006,-0.016,-1.634,0.021,0.176,324.5
-0.052,-0.002,-0.016,-1.635,0.022,0.176,324.5
-0.045,0.002,0.009,-1.636,0.022,0.176,324.5
0.01,-0.017,0.028,-1.636,0.021,0.176,324.5
0.015,-0.028,-0.012,-1.634,0.026,0.177,324.5
-0.013,-0.018,-0.005,-1.636,0.029,0.178,324.5
-0.065,-0.031,-0.042,-1.638,0.03,0.179,324.5
-0.029,-0.01,0.001,-1.639,0.031,0.18,324.5
0.006,-0.035,-0.011,-1.641,0.033,0.182,324.5
-0.047,-0.038,-0.002,-1.639,0.032,0.183,324.5
0.023,-0.016,0.01,-1.641,0.034,0.184,324.5
-0.0,-0.025,-0.026,-1.639,0.037,0.185,324.5
-0.041,-0.04,-0.012,-1.638,0.039,0.186,324.5
0.022,-0.027,-0.019,-1.636,0.043,0.188,324.5
-0.011,-0.048,0.002,-1.636,0.045,0.19,324.5
-0.081,-0.094,-0.004,-1.636,0.046,0.192,324.5
0.013,-0.046,-0.005,-1.636,0.046,0.195,323.8
-0.012,-0.055,-0.027,-1.636,0.049,0.197,323.8
-0.029,-0.039,-0.015,-1.636,0.053,0.199,323.8
0.0,-0.062,0.008,-1.636,0.054,0.202,323.8
-0.014,-0.067,-0.029,-1.632,0.057,0.204,323.8
-0.061,-0.043,-0.017,-1.632,0.063,0.207,323.8
-0.075,-0.032,-0.022,-1.632,0.063,0.209,323.8
-0.049,-0.081,-0.006,-1.63,0.066,0.211,323.8
-0.009,-0.017,0.002,-1.632,0.062,0.212,323.8
-0.052,0.005,-0.023,-1.632,0.055,0.213,323.8
-0.094,-0.051,0.019,-1.633,0.052,0.215,323.8
-0.006,0.011,-0.028,-1.633,0.049,0.216,323.8
-0.011,-0.003,-0.004,-1.632,0.045,0.216,323.8
0.009,0.042,-0.007,-1.632,0.041,0.217,323.8
0.002,-0.012,-0.006,-1.631,0.039,0.218,323.8
-0.043,0.024,-0.013,-1.632,0.038,0.218,323.8
-0.057,0.029,-0.006,-1.632,0.036,0.219,323.8
0.046,0.038,-0.004,-1.631,0.031,0.219,323.8
0.052,0.028,-0.019,-1.628,0.028,0.219,323.8
0.042,0.024,0.022,-1.629,0.022,0.219,323.8
0.053,0.036,-0.017,-1.627,0.016,0.219,323.8
-0.033,0.0,-0.04,-1.624,0.012,0.219,323.8
-0.148,-0.021,0.011,-1.626,0.01,0.22,323.8
-0.054,-0.01,0.002,-1.626,0.008,0.221,323.8
0.031,-0.058,-0.024,-1.625,0.01,0.224,323.8
-0.006,-0.073,-0.036,-1.624,0.015,0.227,323.8
-0.016,-0.031,-0.002,-1.624,0.017,0.23,323.8
-0.017,-0.066,-0.021,-1.624,0.017,0.234,323.8
-0.016,-0.084,-0.008,-1.623,0.022,0.236,323.8
-0.01,-0.063,-0.021,-1.622,0.024,0.239,323.8
-0.015,-0.057,-0.013,-1.622,0.027,0.242,321.7
0.0,-0.052,-0.02,-1.62,0.029,0.246,321.7
-0.046,-0.073,-0.014,-1.621,0.03,0.249,321.7
-0.027,-0.047,-0.011,-1.621,0.03,0.253,321.7
-0.012,-0.053,-0.003,-1.619,0.031,0.256,321.7
-0.005,-0.049,-0.017,-1.62,0.033,0.26,321.7
0.006,-0.04,-0.02,-1.618,0.032,0.263,321.7
-0.028,-0.053,-0.003,-1.617,0.035,0.267,321.7
-0.021,-0.048,0.001,-1.618,0.038,0.271,321.7
-0.045,-0.052,-0.015,-1.618,0.037,0.276,321.7
-0.02,-0.038,-0.011,-1.618,0.035,0.279,319.6
0.022,-0.022,-0.003,-1.618,0.036,0.283,319.6
0.011,-0.076,-0.01,-1.619,0.037,0.287,319.6
0.007,-0.028,-0.005,-1.618,0.037,0.291,319.6
-0.022,-0.027,0.01,-1.617,0.04,0.295,319.6
-0.02,-0.041,0.005,-1.617,0.045,0.299,319.6
0.012,-0.07,-0.019,-1.616,0.051,0.304,319.6
0.017,-0.078,-0.008,-1.615,0.058,0.31,319.6
0.014,-0.028,0.0,-1.616,0.066,0.316,319.6
-0.017,-0.062,-0.028,-1.614,0.071,0.321,319.6
-0.134,-0.054,-0.003,-1.616,0.071,0.324,317.5
-0.116,0.006,0.013,-1.617,0.07,0.327,317.5
-0.03,0.027,-0.012,-1.619,0.067,0.33,317.5
0.055,0.049,-0.014,-1.617,0.062,0.332,317.5
0.047,0.027,-0.012,-1.617,0.062,0.336,317.5
-0.038,-0.028,-0.01,-1.618,0.062,0.34,317.5
-0.048,-0.036,-0.022,-1.616,0.063,0.344,317.5
-0.045,0.001,-0.009,-1.615,0.064,0.348,317.5
-0.048,-0.061,-0.027,-1.615,0.065,0.352,317.5
0.018,-0.034,0.015,-1.616,0.065,0.357,317.5
0.018,-0.049,-0.02,-1.616,0.066,0.362,315.4
0.065,-0.035,-0.013,-1.615,0.066,0.366,315.4
0.033,-0.032,-0.025,-1.613,0.063,0.371,315.4
0.039,-0.041,-0.018,-1.612,0.067,0.376,315.4
0.01,-0.047,-0.004,-1.611,0.069,0.38,315.4
0.016,-0.018,-0.047,-1.609,0.07,0.384,315.4
0.011,0.008,-0.014,-1.607,0.07,0.388,315.4
0.01,-0.002,-0.013,-1.607,0.071,0.391,315.4
-0.019,0.056,-0.024,-1.606,0.067,0.393,315.4
-0.049,0.042,0.002,-1.606,0.064,0.396,315.4
-0.063,0.031,-0.006,-1.606,0.061,0.399,312.5
-0.002,0.035,0.021,-1.607,0.06,0.403,312.5
0.016,-0.006,-0.009,-1.607,0.062,0.407,312.5
0.006,-0.045,0.015,-1.608,0.066,0.411,312.5
0.061,-0.008,-0.013,-1.607,0.063,0.416,312.5
0.003,-0.045,-0.018,-1.606,0.063,0.421,312.5
0.023,0.008,0.001,-1.605,0.064,0.425,312.5
0.03,-0.03,0.014,-1.606,0.066,0.43,312.5
0.019,0.007,0.002,-1.605,0.069,0.435,312.5
0.015,-0.028,0.005,-1.605,0.075,0.44,312.5
-0.006,-0.014,-0.004,-1.604,0.079,0.444,310.1
-0.006,-0.032,-0.015,-1.604,0.08,0.449,310.1
-0.041,-0.017,-0.005,-1.605,0.083,0.454,310.1
0.013,-0.012,-0.006,-1.603,0.084,0.459,310.1
0.028,-0.027,-0.004,-1.604,0.084,0.464,310.1
0.018,-0.033,0.001,-1.604,0.083,0.469,310.1
0.0,-0.016,-0.022,-1.604,0.082,0.474,310.1
-0.026,0.016,-0.01,-1.605,0.082,0.478,310.1
-0.036,0.002,-0.001,-1.604,0.084,0.482,310.1
0.007,0.03,0.022,-1.605,0.082,0.486,310.1
0.016,0.022,-0.003,-1.605,0.082,0.489,307.3
0.038,0.04,-0.01,-1.605,0.082,0.493,307.3
0.025,-0.0,-0.005,-1.605,0.083,0.497,307.3
-0.014,0.024,-0.031,-1.602,0.08,0.5,307.3
-0.066,0.002,-0.059,-1.595,0.078,0.504,307.3
-0.003,-0.001,-0.054,-1.593,0.077,0.508,307.3
0.057,0.036,-0.097,-1.589,0.076,0.511,307.3
0.013,0.002,-0.066,-1.585,0.074,0.515,307.3
0.021,-0.004,-0.0,-1.586,0.072,0.518,307.3
0.048,0.033,-0.064,-1.585,0.071,0.521,307.3
0.004,0.019,-0.035,-1.586,0.069,0.523,304.5
-0.034,0.07,-0.025,-1.585,0.065,0.526,304.5
-0.044,0.036,-0.002,-1.584,0.058,0.528,304.5
0.012,0.011,-0.002,-1.584,0.054,0.531,304.5
0.033,-0.009,-0.007,-1.582,0.053,0.534,304.5
